category_name,description
Analgesics,"Medications used to relieve pain, such as aspirin, ibuprofen, and acetaminophen."
Antibiotics,"Medications used to treat bacterial infections, such as penicillin, amoxicillin, and ciprofloxacin."
Antidepressants,"Medications used to treat depression, such as fluoxetine, sertraline, and escitalopram."
Antihistamines,"Medications used to treat allergies, such as loratadine, cetirizine, and fexofenadine."
Antipsychotics,"Medications used to treat psychotic disorders, such as schizophrenia, such as risperidone, quetiapine, and olanzapine."
Beta blockers,"Medications used to treat high blood pressure, such as metoprolol, atenolol, and propranolol."
Diuretics,"Medications used to remove excess water from the body, such as furosemide, hydrochlorothiazide, and spironolactone."
Hormones,"Medications used to regulate bodily functions, such as insulin, thyroxine, and estrogen."
Immunosuppressants,"Medications used to suppress the immune system, such as cyclosporine, tacrolimus, and mycophenolate."
Muscle relaxants,"Medications used to reduce muscle tension and spasms, such as baclofen, cyclobenzaprine, and tizanidine."
Narcotic analgesics,"Powerful pain medications, such as morphine, codeine, and oxycodone."
Non-narcotic analgesics,"Milder pain medications that do not cause physical dependence, such as acetaminophen and ibuprofen."
Proton pump inhibitors,"Medications used to treat acid reflux and ulcers, such as omeprazole, pantoprazole, and lansoprazole."
Sedatives and hypnotics,"Medications used to promote sleep and reduce anxiety, such as diazepam, lorazepam, and zolpidem."
Statins,"Medications used to lower cholesterol levels, such as atorvastatin, simvastatin, and rosuvastatin."
Steroids,"Medications used to reduce inflammation, such as prednisone, hydrocortisone, and dexamethasone."
Stimulants,"Medications used to increase alertness and improve focus, such as methylphenidate, amphetamine, and modafinil."
Thrombolytics,"Medications used to dissolve blood clots, such as alteplase and reteplase."
Vaccines,"Medications used to stimulate the immune system and prevent infectious diseases, such as the flu vaccine, hepatitis B vaccine, and human papillomavirus vaccine."
Vitamins and minerals,"Supplements used to supplement a person's diet with essential nutrients, such as vitamin C, iron, and calcium."
